ConfirmFirstMeasureToSideOfTable()
Table measured at :97
ConfirmFirstMeasureToSideOfTable() - done
MoveTableToScanStartPosition()
Moving table to upper limit
Moving table to upper limit - done
MoveTableToScanStartPosition() - done
Press confirm to begin scan?
PerformScan
Revolution 0
17:31 touched True steps 393
17:32 touched True steps 395
17:33 touched True steps 394
17:34 touched True steps 395
17:35 touched True steps 395
17:36 touched True steps 394
17:37 touched True steps 392
17:38 touched True steps 393
17:39 touched True steps 395
17:40 touched True steps 396
17:41 touched True steps 396
17:42 touched True steps 397
17:43 touched True steps 395
17:44 touched True steps 395
17:45 touched True steps 392
17:46 touched True steps 387
17:47 touched True steps 381
17:48 touched True steps 375
17:49 touched True steps 370
17:50 touched True steps 370
Revolution 18
18:0 touched True steps 369
18:1 touched True steps 357
18:2 touched True steps 359
18:3 touched True steps 361
18:4 touched True steps 363
18:5 touched True steps 364
18:6 touched True steps 365
18:7 touched True steps 368
18:8 touched True steps 372
18:9 touched True steps 373
18:10 touched True steps 375
18:11 touched True steps 377
18:12 touched True steps 380
18:13 touched True steps 383
18:14 touched True steps 385
18:15 touched True steps 388
18:16 touched True steps 389
18:17 touched True steps 391
18:18 touched True steps 394
18:19 touched True steps 395
18:20 touched True steps 395
18:21 touched True steps 394
18:22 touched True steps 392
18:23 touched True steps 390
18:24 touched True steps 388
18:25 touched True steps 387
18:26 touched True steps 384
18:27 touched True steps 387
18:28 touched True steps 390
18:29 touched True steps 388
18:30 touched True steps 387
18:31 touched True steps 387
18:32 touched True steps 388
18:33 touched True steps 390
18:34 touched True steps 391
18:35 touched True steps 391
18:36 touched True steps 392
18:37 touched True steps 395
18:38 touched True steps 397
18:39 touched True steps 398
18:40 touched True steps 399
18:41 touched True steps 399
18:42 touched True steps 398
18:43 touched True steps 397
18:44 touched True steps 396
18:45 touched True steps 392
18:46 touched True steps 388
18:47 touched True steps 380
18:48 touched True steps 377
18:49 touched True steps 374
18:50 touched True steps 374
Revolution 19
19:0 touched True steps 370
19:1 touched True steps 366
19:2 touched True steps 362
19:3 touched True steps 364
19:4 touched True steps 365
19:5 touched True steps 367
19:6 touched True steps 370
19:7 touched True steps 374
19:8 touched True steps 379
19:9 touched True steps 380
